[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.78m, conf=0.76
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.42m, conf=0.66
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.33m, conf=0.30
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.80
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=4.62m, conf=0.79
[2025-11-01 17:19:16] Cấm dừng và đỗ xe, distance=3.89m, conf=0.70
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.93m, conf=0.51
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.89m, conf=0.35
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.89m, conf=0.35
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.89m, conf=0.35
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.89m, conf=0.35
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.75m, conf=0.26
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.75m, conf=0.26
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.75m, conf=0.26
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.75m, conf=0.26
[2025-11-01 17:19:17] Cấm dừng và đỗ xe, distance=3.75m, conf=0.28
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.82m, conf=0.26
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.82m, conf=0.26
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.82m, conf=0.26
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.82m, conf=0.26
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.78m, conf=0.30
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.89m, conf=0.39
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.68m, conf=0.43
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.68m, conf=0.43
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.68m, conf=0.43
[2025-11-01 17:19:18] Cấm dừng và đỗ xe, distance=3.68m, conf=0.43
[2025-11-01 17:19:19] Cấm dừng và đỗ xe, distance=3.62m, conf=0.55
[2025-11-01 17:19:19] Cấm dừng và đỗ xe, distance=3.62m, conf=0.33
[2025-11-01 17:19:19] Cấm dừng và đỗ xe, distance=3.62m, conf=0.33
[2025-11-01 17:19:19] Cấm dừng và đỗ xe, distance=3.62m, conf=0.33
[2025-11-01 17:19:19] Cấm dừng và đỗ xe, distance=3.62m, conf=0.33
[2025-11-01 17:19:19] Cấm dừng và đỗ xe, distance=3.56m, conf=0.30
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.89m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.89m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.89m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.89m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.36
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.37
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.37
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.37
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.37
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.34
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.34
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.34
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.82m, conf=0.34
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.33
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.33
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.33
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.33
[2025-11-01 17:19:20] Cấm dừng và đỗ xe, distance=3.85m, conf=0.27
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.30
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.30
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.47
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.47
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.47
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.93m, conf=0.46
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.93m, conf=0.46
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.93m, conf=0.46
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.93m, conf=0.46
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.35
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=4.0m, conf=0.40
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=4.0m, conf=0.40
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=4.0m, conf=0.40
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=4.0m, conf=0.40
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.89m, conf=0.60
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.89m, conf=0.60
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.89m, conf=0.60
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.89m, conf=0.60
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.54
[2025-11-01 17:19:21] Cấm dừng và đỗ xe, distance=3.85m, conf=0.54
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.85m, conf=0.54
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.85m, conf=0.54
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.85m, conf=0.48
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.85m, conf=0.48
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.85m, conf=0.48
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.85m, conf=0.48
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.82m, conf=0.66
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.82m, conf=0.66
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.82m, conf=0.66
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.82m, conf=0.66
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.82m, conf=0.39
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.56m, conf=0.41
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.5m, conf=0.41
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.5m, conf=0.41
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.5m, conf=0.41
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.5m, conf=0.41
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.59m, conf=0.49
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.62m, conf=0.45
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.62m, conf=0.45
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.62m, conf=0.45
[2025-11-01 17:19:22] Cấm dừng và đỗ xe, distance=3.62m, conf=0.45
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.62m, conf=0.50
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.62m, conf=0.50
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.62m, conf=0.50
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.62m, conf=0.50
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.75m, conf=0.58
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.72m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.72m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.72m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.72m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.68m, conf=0.58
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.75m, conf=0.54
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.82m, conf=0.70
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.78m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.78m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.78m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.78m, conf=0.65
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.82m, conf=0.53
[2025-11-01 17:19:23] Cấm dừng và đỗ xe, distance=3.82m, conf=0.53
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.82m, conf=0.53
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.82m, conf=0.53
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.89m, conf=0.32
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.75m, conf=0.58
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.75m, conf=0.58
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.75m, conf=0.58
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.75m, conf=0.58
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.68m, conf=0.41
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.68m, conf=0.41
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.68m, conf=0.41
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.68m, conf=0.41
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.65m, conf=0.36
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.65m, conf=0.36
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.65m, conf=0.36
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.65m, conf=0.36
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.72m, conf=0.45
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.78m, conf=0.42
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.78m, conf=0.42
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.78m, conf=0.42
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.78m, conf=0.42
[2025-11-01 17:19:24] Cấm dừng và đỗ xe, distance=3.44m, conf=0.30
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.5m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.5m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.5m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.5m, conf=0.32
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.56m, conf=0.26
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.56m, conf=0.26
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.56m, conf=0.26
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.56m, conf=0.26
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.44m, conf=0.28
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.44m, conf=0.28
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.44m, conf=0.28
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.44m, conf=0.28
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.56m, conf=0.31
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.30
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.30
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.30
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.47m, conf=0.30
[2025-11-01 17:19:25] Cấm dừng và đỗ xe, distance=3.78m, conf=0.38
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.08m, conf=0.69
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.08m, conf=0.69
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.08m, conf=0.69
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.08m, conf=0.69
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.16m, conf=0.78
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.16m, conf=0.78
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.16m, conf=0.78
[2025-11-01 17:19:26] Cấm dừng và đỗ xe, distance=4.16m, conf=0.78
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.72m, conf=0.70
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.72m, conf=0.70
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.72m, conf=0.70
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.68m, conf=0.31
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.68m, conf=0.31
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.68m, conf=0.31
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.68m, conf=0.31
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.5m, conf=0.50
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.5m, conf=0.50
[2025-11-01 17:21:53] Cấm dừng và đỗ xe, distance=3.5m, conf=0.50
