epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,14585,0.8718,0.96034,0.84488,0.90064,0.82636,0.89638,0.66067,0.77492,0.86189,0.82896,0.000122293,0.000122293,0.000122293
18,15454.8,0.84709,0.92303,0.84559,0.89941,0.82638,0.91895,0.67019,0.78522,0.84536,0.83065,0.000118749,0.000118749,0.000118749
19,16342.9,0.85049,0.9053,0.84319,0.92139,0.82452,0.92409,0.68706,0.76445,0.8128,0.82856,0.000115204,0.000115204,0.000115204
20,17234.3,0.83085,0.87555,0.84593,0.91952,0.81131,0.91849,0.69014,0.76054,0.8084,0.82864,0.00011166,0.00011166,0.00011166
21,19499.5,0.82901,0.85169,0.83856,0.93302,0.85984,0.9328,0.69995,0.74688,0.7713,0.82447,0.000108116,0.000108116,0.000108116
22,20998.9,0.8193,0.83458,0.84311,0.91975,0.85383,0.93057,0.70113,0.75284,0.76354,0.82606,0.000104572,0.000104572,0.000104572
23,22836.9,0.8159,0.81264,0.83579,0.93304,0.83342,0.93842,0.70053,0.75192,0.75377,0.82451,0.000101028,0.000101028,0.000101028
24,23664.2,0.81252,0.79612,0.8389,0.9201,0.85829,0.93878,0.70164,0.76134,0.73246,0.82551,9.74834e-05,9.74834e-05,9.74834e-05
25,24486.7,0.8116,0.79514,0.84091,0.90895,0.87145,0.93693,0.70513,0.7581,0.73471,0.82523,9.39392e-05,9.39392e-05,9.39392e-05
26,26049.7,0.80538,0.77706,0.83873,0.90914,0.87712,0.94195,0.71476,0.74492,0.70551,0.82651,9.0395e-05,9.0395e-05,9.0395e-05
27,27658.7,0.79648,0.75395,0.83851,0.91928,0.87058,0.93991,0.70984,0.73486,0.69831,0.8217,8.68508e-05,8.68508e-05,8.68508e-05
28,30320.8,0.80307,0.74791,0.83718,0.92645,0.86069,0.94005,0.70705,0.74852,0.69088,0.82519,8.33066e-05,8.33066e-05,8.33066e-05
29,31121.9,0.79896,0.73978,0.83674,0.91511,0.88293,0.94369,0.71271,0.73128,0.6841,0.82222,7.97624e-05,7.97624e-05,7.97624e-05
30,31921.5,0.79053,0.71947,0.83576,0.92992,0.87788,0.94816,0.72026,0.74044,0.67028,0.82399,7.62182e-05,7.62182e-05,7.62182e-05
31,32733.2,0.78344,0.70584,0.83469,0.91655,0.87373,0.95054,0.71376,0.73541,0.67241,0.82336,7.2674e-05,7.2674e-05,7.2674e-05
32,33551,0.79238,0.71759,0.83661,0.93023,0.87776,0.95291,0.71495,0.73431,0.67136,0.82272,6.91298e-05,6.91298e-05,6.91298e-05
33,34357.4,0.77732,0.69004,0.83369,0.93876,0.86824,0.95275,0.72042,0.73419,0.65104,0.82395,6.55856e-05,6.55856e-05,6.55856e-05
34,35166.6,0.77157,0.67991,0.83364,0.87166,0.9267,0.95427,0.71513,0.73072,0.64818,0.82146,6.20414e-05,6.20414e-05,6.20414e-05
35,35971,0.76592,0.66856,0.83077,0.86773,0.93055,0.95166,0.72009,0.72907,0.64536,0.82196,5.84972e-05,5.84972e-05,5.84972e-05
36,36764.9,0.76145,0.67801,0.8339,0.86108,0.93576,0.9546,0.71746,0.73122,0.64878,0.82224,5.4953e-05,5.4953e-05,5.4953e-05
37,37570.4,0.75961,0.6605,0.83011,0.93135,0.88748,0.95399,0.72132,0.72036,0.63716,0.82034,5.14088e-05,5.14088e-05,5.14088e-05
38,38376.2,0.74582,0.64413,0.83257,0.91226,0.89729,0.95598,0.71849,0.72095,0.62956,0.81966,4.78646e-05,4.78646e-05,4.78646e-05
39,39187.3,0.76583,0.65413,0.83032,0.87709,0.93433,0.95719,0.72732,0.71935,0.6284,0.81983,4.43204e-05,4.43204e-05,4.43204e-05
40,39990.6,0.75272,0.64077,0.83089,0.90597,0.92774,0.95914,0.7228,0.72434,0.61812,0.82234,4.07762e-05,4.07762e-05,4.07762e-05
41,40786.8,0.74699,0.70093,0.82653,0.90949,0.918,0.95178,0.7129,0.73467,0.62976,0.82206,3.7232e-05,3.7232e-05,3.7232e-05
42,41581.8,0.73873,0.66974,0.82188,0.88218,0.94395,0.95466,0.72087,0.72775,0.61999,0.82229,3.36878e-05,3.36878e-05,3.36878e-05
43,42376.5,0.73851,0.66593,0.82769,0.87467,0.94442,0.95551,0.72016,0.72593,0.61259,0.82205,3.01436e-05,3.01436e-05,3.01436e-05
44,43175.8,0.73042,0.64741,0.82731,0.93832,0.89491,0.95603,0.72428,0.71735,0.60603,0.81993,2.65994e-05,2.65994e-05,2.65994e-05
45,43969.6,0.71974,0.63724,0.82094,0.86972,0.94479,0.95412,0.72348,0.71916,0.60617,0.82039,2.30552e-05,2.30552e-05,2.30552e-05
46,44768.4,0.72031,0.6396,0.82141,0.87483,0.94206,0.95646,0.72857,0.71346,0.60046,0.8193,1.9511e-05,1.9511e-05,1.9511e-05
47,45565.7,0.71721,0.64036,0.82382,0.88336,0.94054,0.95684,0.72922,0.71478,0.59966,0.8193,1.59668e-05,1.59668e-05,1.59668e-05
48,46366.4,0.71503,0.62992,0.82118,0.89278,0.93577,0.95647,0.72898,0.71153,0.59564,0.81872,1.24226e-05,1.24226e-05,1.24226e-05
49,47159.9,0.70564,0.62351,0.82425,0.88616,0.93949,0.95734,0.7272,0.71246,0.59288,0.81936,8.8784e-06,8.8784e-06,8.8784e-06
50,47985,0.71377,0.62837,0.82327,0.886,0.9373,0.95862,0.73123,0.7132,0.59197,0.81929,5.3342e-06,5.3342e-06,5.3342e-06
